1.000000,2.500000,-3.750000,0.445334,2.201153,-2.866063,
1.000000,2.500000,-3.750000,0.452872,2.201153,-2.864053,
1.000000,2.500000,-3.750000,0.460411,2.201153,-2.862042,
1.000000,2.500000,-3.750000,0.467950,2.201153,-2.860032,
1.000000,2.500000,-3.750000,0.475488,2.201153,-2.858022,
1.000000,2.500000,-3.750000,0.483027,2.201153,-2.856011,
1.000000,2.500000,-3.750000,0.490565,2.201153,-2.854001,
1.000000,2.500000,-3.750000,0.498104,2.201153,-2.851991,
1.000000,2.500000,-3.750000,0.505643,2.201153,-2.849981,
1.000000,2.500000,-3.750000,0.513181,2.201153,-2.847970,
1.000000,2.500000,-3.750000,0.520720,2.201153,-2.845960,
1.000000,2.500000,-3.750000,0.528258,2.201153,-2.843950,
1.000000,2.500000,-3.750000,0.535797,2.201153,-2.841939,
1.000000,2.500000,-3.750000,0.543336,2.201153,-2.839929,
1.000000,2.500000,-3.750000,0.550874,2.201153,-2.837919,
1.000000,2.500000,-3.750000,0.558413,2.201153,-2.835908,
1.000000,2.500000,-3.750000,0.565951,2.201153,-2.833899,
1.000000,2.500000,-3.750000,0.573490,2.201153,-2.831888,
1.000000,2.500000,-3.750000,0.581029,2.201153,-2.829878,
1.000000,2.500000,-3.750000,0.588567,2.201153,-2.827868,
1.000000,2.500000,-3.750000,0.596106,2.201153,-2.825857,
1.000000,2.500000,-3.750000,0.603644,2.201153,-2.823847,
1.000000,2.500000,-3.750000,0.611183,2.201153,-2.821836,
1.000000,2.500000,-3.750000,0.618722,2.201153,-2.819826,
1.000000,2.500000,-3.750000,0.626260,2.201153,-2.817816,
1.000000,2.500000,-3.750000,0.633799,2.201153,-2.815806,
1.000000,2.500000,-3.750000,0.641337,2.201153,-2.813796,
1.000000,2.500000,-3.750000,0.648876,2.201153,-2.811785,
1.000000,2.500000,-3.750000,0.656415,2.201153,-2.809775,
1.000000,2.500000,-3.750000,0.663953,2.201153,-2.807765,
1.000000,2.500000,-3.750000,0.671492,2.201153,-2.805754,
1.000000,2.500000,-3.750000,0.679030,2.201153,-2.803744,
1.000000,2.500000,-3.750000,0.686569,2.201153,-2.801733,
1.000000,2.500000,-3.750000,0.694108,2.201153,-2.799723,
1.000000,2.500000,-3.750000,0.701646,2.201153,-2.797713,
1.000000,2.500000,-3.750000,0.709185,2.201153,-2.795703,
1.000000,2.500000,-3.750000,0.716723,2.201153,-2.793693,
1.000000,2.500000,-3.750000,0.724262,2.201153,-2.791682,
1.000000,2.500000,-3.750000,0.731800,2.201153,-2.789672,
1.000000,2.500000,-3.750000,0.739339,2.201153,-2.787662,
1.000000,2.500000,-3.750000,0.746878,2.201153,-2.785651,
1.000000,2.500000,-3.750000,0.754416,2.201153,-2.783641,
1.000000,2.500000,-3.750000,0.761955,2.201153,-2.781631,
1.000000,2.500000,-3.750000,0.769493,2.201153,-2.779621,
1.000000,2.500000,-3.750000,0.777032,2.201153,-2.777610,
1.000000,2.500000,-3.750000,0.784571,2.201153,-2.775600,
1.000000,2.500000,-3.750000,0.792109,2.201153,-2.773590,
1.000000,2.500000,-3.750000,0.799648,2.201153,-2.771579,
1.000000,2.500000,-3.750000,0.807186,2.201153,-2.769569,
1.000000,2.500000,-3.750000,0.814725,2.201153,-2.767559,
1.000000,2.500000,-3.750000,0.822264,2.201153,-2.765548,
1.000000,2.500000,-3.750000,0.829802,2.201153,-2.763538,
1.000000,2.500000,-3.750000,0.837341,2.201153,-2.761528,
1.000000,2.500000,-3.750000,0.844879,2.201153,-2.759518,
1.000000,2.500000,-3.750000,0.852418,2.201153,-2.757507,
1.000000,2.500000,-3.750000,0.859957,2.201153,-2.755497,
1.000000,2.500000,-3.750000,0.867495,2.201153,-2.753487,
1.000000,2.500000,-3.750000,0.875034,2.201153,-2.751476,
1.000000,2.500000,-3.750000,0.882572,2.201153,-2.749466,
1.000000,2.500000,-3.750000,0.890111,2.201153,-2.747456,
1.000000,2.500000,-3.750000,0.897650,2.201153,-2.745445,
1.000000,2.500000,-3.750000,0.905188,2.201153,-2.743435,
1.000000,2.500000,-3.750000,0.912727,2.201153,-2.741425,
1.000000,2.500000,-3.750000,0.920265,2.201153,-2.739415,
1.000000,2.500000,-3.750000,0.927804,2.201153,-2.737404,
1.000000,2.500000,-3.750000,0.935342,2.201153,-2.735394,
1.000000,2.500000,-3.750000,0.942881,2.201153,-2.733384,
1.000000,2.500000,-3.750000,0.950420,2.201153,-2.731373,
1.000000,2.500000,-3.750000,0.957958,2.201153,-2.729363,
1.000000,2.500000,-3.750000,0.965497,2.201153,-2.727353,
1.000000,2.500000,-3.750000,0.973036,2.201153,-2.725343,
1.000000,2.500000,-3.750000,0.980574,2.201153,-2.723332,
1.000000,2.500000,-3.750000,0.988113,2.201153,-2.721322,
1.000000,2.500000,-3.750000,0.995651,2.201153,-2.719312,
1.000000,2.500000,-3.750000,1.003190,2.201153,-2.717301,
1.000000,2.500000,-3.750000,1.010729,2.201153,-2.715291,
1.000000,2.500000,-3.750000,1.018267,2.201153,-2.713281,
1.000000,2.500000,-3.750000,1.025806,2.201153,-2.711270,
1.000000,2.500000,-3.750000,1.033344,2.201153,-2.709260,
1.000000,2.500000,-3.750000,0.447511,2.188035,-2.874228,
1.000000,2.500000,-3.750000,0.455050,2.188035,-2.872218,
1.000000,2.500000,-3.750000,0.462588,2.188035,-2.870207,
1.000000,2.500000,-3.750000,0.470127,2.188035,-2.868197,
1.000000,2.500000,-3.750000,0.477666,2.188035,-2.866187,
